


####### t-projections #######

Avg Bin Kinematics:	 t=0.031	 x=0.079	 q=2.0
Acos(0\phi): -0.0109955576668	0.00500393000757  (dstat.)	0.007605  (dsyst.)	0.00910358943058 (dtotal) 
Acos(1\phi): 0.00629639262114	0.00705356202216  (dstat.)	0.001638  (dsyst.)	0.00724125549891 (dtotal) 
Acos(2\phi): -0.013031547357	0.00703919330229  (dstat.)	0.003813  (dsyst.)	0.00800557376751 (dtotal) 
Acos(3\phi): -0.00444030708313	0.00711281272988  (dstat.)	0.004359  (dsyst.)	0.00834224106163 (dtotal) 
A_I sin(1\phi): -0.233257486796	0.0258209724548  (dstat.)	0.004735  (dsyst.)	0.026251530308 (dtotal) 
A_I sin(2\phi): 0.0137922591995	0.0253287255804  (dstat.)	0.002185  (dsyst.)	0.0254227961587 (dtotal) 
A_DVCS sin(\phi): 0.0340189296421	0.0257026638788  (dstat.)	0.003842  (dsyst.)	0.0259882260739 (dtotal) 

Avg Bin Kinematics:	 t=0.094	 x=0.102	 q=2.58
Acos(0\phi): -0.0173588153521	0.00602179840663  (dstat.)	0.007251  (dsyst.)	0.00942544731299 (dtotal) 
Acos(1\phi): 0.040727707371	0.00839235334695  (dstat.)	0.015747  (dsyst.)	0.0178437553138 (dtotal) 
Acos(2\phi): -0.000465941747637	0.00835053811108  (dstat.)	0.014198  (dsyst.)	0.0164716329107 (dtotal) 
Acos(3\phi): -0.0133915554017	0.00838051207844  (dstat.)	0.003859  (dsyst.)	0.00922631365698 (dtotal) 
A_I sin(1\phi): -0.1914292225	0.0334245579106  (dstat.)	0.008488  (dsyst.)	0.0344854638292 (dtotal) 
A_I sin(2\phi): -0.022482948033	0.0330572164257  (dstat.)	0.004383  (dsyst.)	0.0333465177615 (dtotal) 
A_DVCS sin(\phi): -0.0139761005158	0.0335306494447  (dstat.)	0.003531  (dsyst.)	0.0337160557181 (dtotal) 

Avg Bin Kinematics:	 t=0.202	 x=0.117	 q=3.05
Acos(0\phi): -0.0237350904645	0.00703984237982  (dstat.)	0.005196  (dsyst.)	0.00874973123774 (dtotal) 
Acos(1\phi): 0.0692211741426	0.00993096792121  (dstat.)	0.024329  (dsyst.)	0.0262778302919 (dtotal) 
Acos(2\phi): -0.000309566570539	0.00972985804502  (dstat.)	0.035259  (dsyst.)	0.0365768672603 (dtotal) 
Acos(3\phi): 0.0196483149845	0.00975698473381  (dstat.)	0.000883  (dsyst.)	0.0097968586851 (dtotal) 
A_I sin(1\phi): -0.255496352629	0.0387107403383  (dstat.)	0.013728  (dsyst.)	0.0410728548015 (dtotal) 
A_I sin(2\phi): -0.0340054377238	0.0387610256579  (dstat.)	0.009524  (dsyst.)	0.0399139535258 (dtotal) 
A_DVCS sin(\phi): 0.0240324342137	0.0389113242719  (dstat.)	0.006939  (dsyst.)	0.0395251929482 (dtotal) 

Avg Bin Kinematics:	 t=0.417	 x=0.127	 q=3.77
Acos(0\phi): -0.0606362531478	0.0113424154065  (dstat.)	0.006915  (dsyst.)	0.0132841112708 (dtotal) 
Acos(1\phi): 0.138676890408	0.0169249939894  (dstat.)	0.046865  (dsyst.)	0.0498275390376 (dtotal) 
Acos(2\phi): 0.0313693936901	0.0158001538124  (dstat.)	0.03927  (dsyst.)	0.0423293959382 (dtotal) 
Acos(3\phi): 0.00357227138337	0.0153751499279  (dstat.)	0.008547  (dsyst.)	0.0175910899124 (dtotal) 
A_I sin(1\phi): -0.273378345506	0.0599962738181  (dstat.)	0.016075  (dsyst.)	0.0621124665188 (dtotal) 
A_I sin(2\phi): -0.02333584176	0.0616787675738  (dstat.)	0.025125  (dsyst.)	0.0665998197777 (dtotal) 
A_DVCS sin(\phi): 0.0221763476617	0.0601750100796  (dstat.)	0.015324  (dsyst.)	0.0620955458474 (dtotal) 



####### xB-projections #######

Avg Bin Kinematics:	 t=0.091	 x=0.054	 q=1.45
Acos(0\phi): -0.0422971348331	0.00564820725489  (dstat.)	0.011229  (dsyst.)	0.012569514159 (dtotal) 
Acos(1\phi): 0.0249648377146	0.00816873121312  (dstat.)	0.013314  (dsyst.)	0.0156202037641 (dtotal) 
Acos(2\phi): -0.0176780133344	0.00783379721001  (dstat.)	0.010507  (dsyst.)	0.0131059310134 (dtotal) 
Acos(3\phi): 0.00202764035169	0.00759078672905  (dstat.)	0.001186  (dsyst.)	0.00768287961418 (dtotal) 
A_I sin(1\phi): -0.211308523003	0.0304714874891  (dstat.)	0.082902  (dsyst.)	0.0883247029647 (dtotal) 
A_I sin(2\phi): -0.0139144626698	0.0305524958332  (dstat.)	0.006887  (dsyst.)	0.0313190959422 (dtotal) 
A_DVCS sin(\phi): 0.0156121551849	0.0305909050517  (dstat.)	0.003355  (dsyst.)	0.0307743317862 (dtotal) 

Avg Bin Kinematics:	 t=0.102	 x=0.084	 q=2.17
Acos(0\phi): -0.0208791969613	0.00621007744839  (dstat.)	0.017371  (dsyst.)	0.0184476747292 (dtotal) 
Acos(1\phi): 0.0327163294022	0.00877136440003  (dstat.)	0.01828  (dsyst.)	0.0202754835562 (dtotal) 
Acos(2\phi): -0.00165167428007	0.00862211723165  (dstat.)	0.013666  (dsyst.)	0.0161586033294 (dtotal) 
Acos(3\phi): -0.0141745169518	0.00862977197297  (dstat.)	0.004788  (dsyst.)	0.00986903786118 (dtotal) 
A_I sin(1\phi): -0.273728075102	0.0336926026729  (dstat.)	0.031575  (dsyst.)	0.0461754491031 (dtotal) 
A_I sin(2\phi): 0.0299991568802	0.0335880425177  (dstat.)	0.009816  (dsyst.)	0.0349930058179 (dtotal) 
